id,name,card,date,amount,merchant,category
1,Robert Johnson,3517111172421930,2018-01-02 16:14:55,3.12,Robertson-Smith,pub
1,Robert Johnson,3517111172421930,2018-01-10 13:41:23,11.50,"Davis, Lowe and Baxter",food truck
1,Robert Johnson,3517111172421930,2018-01-14 13:30:29,10.94,Santos-Fitzgerald,pub
1,Robert Johnson,3517111172421930,2018-01-28 14:38:33,19.93,Greene LLC,restaurant
1,Robert Johnson,3517111172421930,2018-01-29 06:32:49,10.24,"Davis, Lowe and Baxter",food truck
1,Robert Johnson,3517111172421930,2018-01-30 16:34:45,16.91,Greer Inc,bar
1,Robert Johnson,3517111172421930,2018-01-31 09:42:00,10.49,"Brown, Ballard and Glass",restaurant
1,Robert Johnson,3517111172421930,2018-02-01 20:44:12,10.24,Fisher-Bolton,restaurant
1,Robert Johnson,3517111172421930,2018-02-14 11:14:37,11.38,Romero-Jordan,food truck
1,Robert Johnson,3517111172421930,2018-02-19 12:45:15,15.59,Brown LLC,bar
1,Robert Johnson,3517111172421930,2018-02-22 01:15:43,12.35,Perry and Sons,bar
1,Robert Johnson,3517111172421930,2018-02-25 11:23:34,10.49,"Williams, Wright and Wagner",coffee shop
1,Robert Johnson,3517111172421930,2018-02-26 03:56:40,2.38,Fowler and Sons,food truck
1,Robert Johnson,3517111172421930,2018-02-28 00:50:21,10.21,Smith PLC,bar
1,Robert Johnson,3517111172421930,2018-03-03 02:05:51,3.49,Armstrong PLC,food truck
1,Robert Johnson,3517111172421930,2018-03-09 00:31:16,3.63,Miller-Blevins,pub
1,Robert Johnson,3517111172421930,2018-03-09 14:53:23,16.07,Mitchell Group,coffee shop
1,Robert Johnson,3517111172421930,2018-03-10 23:00:35,0.76,Riggs-Adams,restaurant
1,Robert Johnson,3517111172421930,2018-03-11 11:44:49,10.20,"Davis, Lowe and Baxter",food truck
1,Robert Johnson,3517111172421930,2018-03-13 03:50:55,2.97,"Walker, Deleon and Wolf",restaurant
1,Robert Johnson,3517111172421930,2018-03-19 22:28:56,10.31,Smith PLC,bar
1,Robert Johnson,3517111172421930,2018-03-22 11:56:50,18.30,Jarvis-Turner,pub
1,Robert Johnson,3517111172421930,2018-03-28 23:13:53,10.92,Day-Murray,food truck
1,Robert Johnson,3517111172421930,2018-03-30 17:36:58,1.26,"Richardson, Smith and Jordan",food truck
1,Robert Johnson,3517111172421930,2018-03-31 00:50:30,11.53,Kidd-Lopez,food truck
1,Robert Johnson,3517111172421930,2018-04-10 02:51:58,10.71,Turner Ltd,pub
1,Robert Johnson,3517111172421930,2018-04-12 12:53:53,17.39,Sweeney-Paul,coffee shop
1,Robert Johnson,3517111172421930,2018-04-21 21:42:14,18.68,Yoder-Zavala,food truck
1,Robert Johnson,3517111172421930,2018-04-30 18:50:48,5.62,Kennedy-Chen,bar
1,Robert Johnson,3517111172421930,2018-05-05 17:49:05,8.42,Martinez Group,restaurant
1,Robert Johnson,3517111172421930,2018-05-06 17:28:44,1.83,White-Hall,bar
1,Robert Johnson,3517111172421930,2018-05-09 17:46:32,10.95,"Vaughn, Wilson and Hall",restaurant
1,Robert Johnson,3517111172421930,2018-05-13 14:38:44,7.41,Clark and Sons,food truck
1,Robert Johnson,3517111172421930,2018-05-21 09:19:58,4.57,"Bell, Gonzalez and Lowe",pub
1,Robert Johnson,3517111172421930,2018-05-27 05:34:33,2.76,"Bond, Lewis and Rangel",restaurant
1,Robert Johnson,3517111172421930,2018-05-29 14:29:47,4.54,"Cline, Myers and Strong",restaurant
1,Robert Johnson,3517111172421930,2018-06-05 04:15:21,16.47,"Young, Hull and Williams",pub
1,Robert Johnson,3517111172421930,2018-06-08 13:48:44,1.98,Ruiz-Chavez,bar
1,Robert Johnson,3517111172421930,2018-06-15 21:15:39,5.52,Griffin-Woodard,bar
1,Robert Johnson,3517111172421930,2018-06-22 11:53:25,1.29,"Brown, Ballard and Glass",restaurant
1,Robert Johnson,3517111172421930,2018-07-17 16:30:39,0.69,Hood-Phillips,bar
1,Robert Johnson,3517111172421930,2018-07-24 03:14:20,10.17,"Brown, Ballard and Glass",restaurant
1,Robert Johnson,3517111172421930,2018-08-07 04:19:38,14.10,Smith PLC,bar
1,Robert Johnson,3517111172421930,2018-08-15 09:33:28,2.29,"Walker, Deleon and Wolf",restaurant
1,Robert Johnson,3517111172421930,2018-08-18 03:12:40,20.07,"Richardson, Smith and Jordan",food truck
1,Robert Johnson,3517111172421930,2018-08-21 16:23:34,1.10,Fowler and Sons,food truck
1,Robert Johnson,3517111172421930,2018-08-29 18:01:07,4.62,Vasquez-Parker,bar
1,Robert Johnson,3517111172421930,2018-08-29 22:16:06,16.68,Browning-Cantu,pub
1,Robert Johnson,3517111172421930,2018-08-30 05:25:49,11.35,Russell-Thomas,restaurant
1,Robert Johnson,3517111172421930,2018-09-09 10:30:47,8.31,"Wilson, Roberts and Davenport",food truck
1,Robert Johnson,3517111172421930,2018-09-16 11:03:50,4.54,"Fleming, Smith and Collins",bar
1,Robert Johnson,3517111172421930,2018-09-23 22:15:58,10.32,"Murphy, Heath and Fields",restaurant
